"","Time","Fall"
"1",1976,0.309777070063695
"2",1977,0.312711555959964
"3",1980,0.307192902638762
"4",1981,0.303080072793448
"5",1982,0.30565059144677
"6",1986,0.30417652411283
"7",1988,0.301797088262056
"8",1991,0.298307552320291
"9",1992,0.300468607825296
"10",1993,0.301515013648772
"11",1994,0.306706096451319
"12",1996,0.306319381255687
"13",1999,0.315495905368516
"14",2000,0.31180618744313
"15",2002,0.307393084622384
"16",2004,0.295568698817106
"17",2007,0.297647861692448
"18",2009,0.313148316651501
"19",2011,0.32076433121019
"20",2014,0.34284804367607
"21",2016,0.339990900818926
