"svspp","stocks","biomass","treatment","year","total","ztotal","lowerci","upperci","ciflag"
"101","unit","yes","NYY","1976","841278.356939886","841278.356939886","334913.073852186","1215740.32621264","0"
"101","unit","yes","NYY","1977","0",NA,"0","222199.92533576","0"
"101","unit","yes","NYY","1978","16029.756155798","16029.756155798","0","27158.2488906443","0"
"101","unit","yes","NYY","1979","0",NA,"0","0","0"
"101","unit","yes","NYY","1980","72871.4838798511","72871.4838798511","66998.2792605028","212417.272304997","0"
"101","unit","yes","NYY","1981","694760.371842968","694760.371842968","416298.285300158","1251500.25612876","0"
"101","unit","yes","NYY","1982","0",NA,"0","0","0"
"101","unit","yes","NYY","1983","0",NA,"0","0","0"
"101","unit","yes","NYY","1984","0",NA,"0","0","0"
"101","unit","yes","NYY","1985","0",NA,"0","0","0"
"101","unit","yes","NYY","1986","0",NA,"0","0","0"
"101","unit","yes","NYY","1987","0",NA,"0","0","0"
"101","unit","yes","NYY","1988","0",NA,"0","0","0"
"101","unit","yes","NYY","1989","0",NA,"0","0","0"
"101","unit","yes","NYY","1990","0",NA,"0","0","0"
"101","unit","yes","NYY","1991","0",NA,"0","0","0"
"101","unit","yes","NYY","1992","0",NA,"0","0","0"
"101","unit","yes","NYY","1993","0",NA,"0","0","0"
"101","unit","yes","NYY","1994","0",NA,"0","0","0"
"101","unit","yes","NYY","1995","0",NA,"0","0","0"
"101","unit","yes","NYY","1996","0",NA,"0","0","0"
"101","unit","yes","NYY","1997","0",NA,"0","0","0"
"101","unit","yes","NYY","1998","207326.223839238","207326.223839238","118691.30750195","296082.643759162","0"
"101","unit","yes","NYY","1999","0",NA,"0","0","0"
"101","unit","yes","NYY","2000","0",NA,"0","0","0"
"101","unit","yes","NYY","2001","344847.613497793","344847.613497793","206406.086903111","483282.816315949","0"
"101","unit","yes","NYY","2002","12972.6324296896","12972.6324296896","0","25948.3626438567","0"
"101","unit","yes","NYY","2003","0",NA,"0","0","-1"
"101","unit","yes","NYY","2004","220786.099028048","220786.099028048","77976.042020148","363512.664821648","0"
"101","unit","yes","NYY","2005","324337.967998816","324337.967998816","127315.859082982","521410.734212393","0"
"101","unit","yes","NYY","2006","128405.370367917","128405.370367917","69035.3781914606","187761.293910698","0"
"101","unit","yes","NYY","2007","315511.04922509","315511.04922509","198875.656268447","453755.437629909","0"
"101","unit","yes","NYY","2008","160626.290826222","160626.290826222","78997.3144938392","265833.568703746","0"
"101","unit","yes","NYY","2009","203917.998338232","203917.998338232","114244.222722244","293591.77395422","0"
"101","unit","yes","NYY","2010","561016.838139045","561016.838139045","373952.592107846","803272.79903622","0"
"101","unit","yes","NYY","2011","797055.398456337","797055.398456337","235746.60691279","1031644.23576415","0"
"101","unit","yes","NYY","2012","309369.002645152","309369.002645152","158982.358160368","459891.854615342","0"
"101","unit","yes","NYY","2013","412496.633932273","412496.633932273","235264.453202334","589614.109577823","0"
"101","unit","yes","NYY","2014","77613.4451922022","77613.4451922022","0","125159.16490937","0"
"101","unit","yes","NYY","2015","54985.0003689621","54985.0003689621","21595.1684749806","88423.9278384864","0"
"101","unit","yes","NYY","2016","232481.331691749","232481.331691749","147363.217473958","317577.237405629","0"
"101","unit","yes","NYY","2017","0",NA,"0","0","0"
"101","unit","yes","NYY","2018","0",NA,"0","0","0"
"101","unit","yes","YYY","1976","958447.709832905","958447.709832905","440812.736420873","1321673.09279296","0"
"101","unit","yes","YYY","1977","0",NA,"-42745.30377933","209198.886910075","0"
"101","unit","yes","YYY","1978","18477.3002867657","18477.3002867657","0","29605.7722033278","0"
"101","unit","yes","YYY","1979","0",NA,"0","0","0"
"101","unit","yes","YYY","1980","84066.6121658172","84066.6121658172","87590.1869645128","234132.019727001","0"
"101","unit","yes","YYY","1981","802604.754826212","802604.754826212","480199.811898024","1320809.88770129","0"
"101","unit","yes","YYY","1982","0",NA,"0","0","0"
"101","unit","yes","YYY","1983","0",NA,"0","0","0"
"101","unit","yes","YYY","1984","0",NA,"0","0","0"
"101","unit","yes","YYY","1985","0",NA,"0","0","0"
"101","unit","yes","YYY","1986","0",NA,"0","0","0"
"101","unit","yes","YYY","1987","0",NA,"0","0","0"
"101","unit","yes","YYY","1988","0",NA,"0","0","0"
"101","unit","yes","YYY","1989","0",NA,"0","0","0"
