"","Time","Fall"
"1",1976,0.333140276301807
"2",1977,0.326004250797024
"3",1978,0.324686503719448
"4",1979,0.314590860786397
"5",1980,0.302715196599362
"6",1982,0.320462274176408
"7",1983,0.306981934112646
"8",1984,0.303565356004251
"9",1985,0.290058448459086
"10",1986,0.288629117959617
"11",1987,0.2903825717322
"12",1988,0.304580233793837
"13",1989,0.310371944739638
"14",1990,0.292093517534538
"15",1991,0.329383634431456
"16",1992,0.284192348565356
"17",1993,0.287964930924548
"18",1994,0.294027630180659
"19",1995,0.287656748140276
"20",1996,0.309574920297556
"21",1997,0.294628055260361
"22",1998,0.284787460148778
"23",2000,0.259553666312434
"24",2001,0.257800212539851
"25",2002,0.259256110520722
"26",2003,0.261891604675877
"27",2004,0.254070138150903
"28",2005,0.26182784272051
"29",2006,0.256461211477152
"30",2007,0.257917109458023
"31",2008,0.262763018065887
"32",2009,0.257848034006376
"33",2010,0.257853347502656
"34",2012,0.247136025504782
"35",2013,0.241126461211477
"36",2014,0.216131774707758
"37",2015,0.2298087141339
"38",2016,0.212731137088204
"39",2017,0.227104144527099
