"","Time","Fall"
"1",1976,0.41057168784029
"2",1977,0.411878402903812
"3",1979,0.411542649727768
"4",1982,0.404664246823957
"5",1984,0.411542649727768
"6",1986,0.442141560798548
"7",1989,0.428611615245009
"8",1990,0.426488203266788
"9",1991,0.446796733212341
"10",1992,0.458421052631579
"11",1995,0.480780399274047
"12",1996,0.467831215970962
"13",1998,0.49983666061706
"14",1999,0.515535390199637
"15",2000,0.52437386569873
"16",2001,0.535989110707804
"17",2002,0.528103448275862
"18",2005,0.534963702359347
"19",2006,0.52929219600726
"20",2008,0.540780399274047
"21",2010,0.55508166969147
"22",2011,0.558012704174229
"23",2013,0.562341197822142
"24",2016,0.552068965517241
"25",2017,0.544056261343013
"26",2018,0.53450998185118
